yyyymmddhh,TX01
1,20.5
2,20.7
3,20.7
4,20.5
5,20.2
6,20.0
7,20.5
8,20.8
9,21.8
10,24.2
11,25.7
12,26.0
13,26.5
14,27.2
15,26.1
16,25.1
17,23.5
18,22.9
19,22.6
20,22.5
21,22.3
22,21.6
23,20.8
24,19.9
1,19.5
2,19.1
3,19.1
4,18.0
5,18.2
6,18.0
7,18.2
8,18.7
9,20.7
10,22.9
11,24.5
12,26.1
13,24.2
14,25.7
15,25.2
16,23.4
17,22.9
18,22.2
19,21.7
20,21.1
21,20.8
22,20.8
23,21.0
24,21.1
1,20.9
2,21.0
3,20.9
4,20.5
5,20.2
6,20.4
7,19.8
8,20.5
9,21.0
10,20.9
11,20.9
12,21.1
13,21.9
14,21.6
15,20.5
16,20.3
17,20.2
18,20.3
19,20.4
20,20.6
21,20.5
22,20.6
23,20.5
24,20.5
1,20.7
2,21.2
3,21.0
4,20.7
5,20.9
6,20.9
7,20.9
8,21.3
9,23.6
10,25.5
11,25.4
12,25.5
13,26.1
14,26.2
15,26.7
16,26.2
17,24.8
18,23.8
19,23.1
20,22.7
21,22.7
22,22.5
23,22.4
24,22.2
1,22.2
2,20.6
3,20.3
4,19.8
5,19.3
6,19.6
7,19.5
8,20.3
9,22.3
10,23.7
11,24.1
12,25.2
13,26.1
14,25.6
15,24.7
16,24.1
17,23.2
18,22.7
19,22.8
20,22.1
21,22.3
22,22.3
23,22.3
24,22.0
1,20.9
2,20.7
3,20.3
4,20.7
5,20.7
6,20.6
7,20.9
8,21.1
9,21.6
10,22.6
11,25.0
12,25.4
13,24.6
14,23.9
15,23.6
16,23.1
17,22.9
18,22.7
19,22.8
20,22.2
21,21.4
22,21.8
23,21.8
24,21.8
1,21.6
2,21.5
3,21.4
4,21.5
5,21.5
6,21.4
7,21.2
8,21.4
9,22.2
10,24.3
11,24.8
12,26.1
13,26.1
14,26.3
15,25.2
16,23.0
17,22.4
18,22.2
19,21.8
20,21.7
21,21.4
22,21.4
23,21.5
24,21.5
1,21.4
2,21.1
3,20.8
4,20.8
5,20.6
6,20.5
7,20.4
8,20.8
9,21.4
10,21.5
11,22.3
12,20.9
13,20.7
14,21.0
15,20.1
16,20.2
17,19.5
18,19.1
19,18.8
20,18.7
21,18.6
22,18.5
23,18.6
24,18.2
1,18.1
2,18.1
3,18.3
4,18.1
5,18.0
6,18.1
7,18.1
8,18.2
9,17.9
10,18.4
11,18.4
12,18.2
13,17.7
14,17.5
15,17.2
16,17.3
17,16.9
18,16.9
19,16.9
20,17.0
21,17.2
22,17.1
23,17.1
24,17.0
1,16.9
2,17.0
3,17.0
4,17.2
5,17.2
6,17.3
7,17.4
8,17.9
9,19.0
10,19.7
11,19.8
12,20.4
13,20.1
14,20.6
15,20.7
16,20.2
17,19.0
18,18.7
19,18.9
20,18.8
21,18.8
22,18.6
23,18.4
24,18.5
1,18.4
2,18.4
3,18.4
4,18.5
5,18.7
6,18.7
7,18.5
8,18.9
9,19.3
10,19.7
11,21.1
12,21.3
13,20.7
14,21.0
15,20.9
16,20.3
17,19.9
18,19.7
19,19.5
20,19.3
21,19.6
22,19.3
23,19.3
24,19.2
1,19.0
2,19.3
3,19.2
4,19.2
5,19.4
6,19.8
7,19.7
8,19.4
9,19.2
10,20.4
11,20.7
12,21.7
13,21.5
14,21.5
15,22.1
16,21.3
17,20.4
18,20.0
19,20.0
20,19.8
21,19.4
22,19.1
23,18.7
24,18.3
1,18.2
2,18.0
3,17.6
4,17.1
5,16.4
6,16.4
7,16.4
8,16.7
9,16.3
10,15.6
11,15.8
12,15.6
13,15.7
14,15.5
15,15.5
16,15.2
17,15.1
18,14.8
19,14.7
20,14.3
21,14.3
22,14.4
23,14.2
24,14.1
1,13.8
2,13.5
3,13.5
4,12.9
5,12.7
6,12.7
7,12.5
8,12.4
9,12.6
10,13.1
11,13.5
12,13.6
13,14.0
14,14.1
15,14.8
16,15.2
17,15.3
18,15.3
19,15.3
20,14.1
21,14.1
22,13.7
23,13.7
24,13.4
1,13.8
2,14.5
3,14.3
4,14.4
